ID;ILLUM;HUMID;CO2;SOUND;TEMP;RYTHM
1;546.27;64.61;493.64;26.18;21.3;78.0
2;467.9;65.59;486.1;41.06;23.27;92.39
3;387.14;70.23;501.81;25.93;18.77;85.17
4;339.75;74.72;535.88;30.5;19.41;80.76
5;521.01;64.09;492.8;40.96;20.3;81.0
6;384.67;62.06;555.64;25.71;19.5;83.7
7;390.19;63.83;422.76;24.18;17.41;63.55
8;454.11;70.64;619.85;16.5;20.31;83.19
9;479.5;66.94;498.02;17.82;22.35;97.33
10;516.29;52.92;468.85;29.8;19.59;66.72
11;470.31;59.73;421.78;33.12;20.82;74.52
12;471.19;62.71;491.76;29.22;19.6;80.9
13;505.87;64.34;438.02;33.27;21.2;82.52
14;435.48;69.03;472.48;33.16;18.46;77.29
15;424.18;80.05;528.68;24.71;21.73;76.35
16;488.58;64.93;550.93;29.04;20.87;74.97
17;437.61;65.77;476.48;30.98;20.5;84.5
18;478.54;65.64;488.87;31.13;19.81;88.7
19;605.51;67.1;470.08;36.64;18.19;73.94
20;285.87;62.54;459.04;32.68;19.13;73.04
21;314.63;60.26;555.43;36.39;19.21;87.9
22;377.06;64.89;494.15;35.23;22.14;83.77
23;447.82;60.56;563.12;33.3;19.8;89.5
24;573.95;69.05;451.8;29.15;19.18;77.74
25;320.42;68.75;499.5;32.18;17.6;71.07
26;456.97;73.48;511.35;35.33;20.55;82.43
27;268.87;66.34;559.34;19.73;22.27;78.29
28;560.58;62.07;444.55;20.08;20.48;86.69
29;350.95;70.03;470.54;23.25;20.64;84.08
30;339.99;66.93;585.28;26.16;20.03;78.16
31;597.68;74.16;614.87;14.9;19.48;81.4
32;496.26;70.12;590.98;34.48;19.12;93.73
33;519.75;72.24;536.1;31.95;19.66;94.87
34;439.48;70.46;472.67;28.49;18.93;78.54
35;483.75;67.52;519.54;29.95;17.19;85.77
36;359.31;72.88;452.56;26.67;17.44;64.62
37;545.92;69.82;533.08;35.88;18.53;76.97
38;466.18;72.01;547.26;34.41;17.58;76.68
39;513.79;56.27;499.01;46.07;17.65;79.68
40;266.36;64.26;491.99;38.56;20.05;85.98
41;499.83;71.49;544.98;26.89;18.6;73.62
42;368.85;66.46;518.84;37.94;20.77;84.58
43;477.67;57.96;484.26;38.73;21.7;77.7
44;383.27;64.52;511.02;40.13;17.8;79.3
45;541.26;61.82;478.84;31.67;19.22;88.86
46;362.58;66.29;544.68;33.56;21.66;88.75
47;402.17;65.63;509.72;23.79;21.75;81.65
48;376.44;61.52;447.93;38.83;17.15;75.73
49;529.42;66.26;532.48;37.16;20.43;83.37
50;359.49;62.61;471.07;41.63;21.41;78.94
51;379.09;72.03;553.94;22.47;19.5;85.9
52;396.86;65.95;550.87;25.85;20.32;78.39
53;443.56;68.59;521.14;25.71;18.7;83.1
54;483.89;67.72;544.67;25.1;21.69;86.0
55;314.19;62.76;491.93;22.73;19.21;82.48
56;469.25;57.56;409.89;32.97;23.32;64.34
57;485.63;68.39;507.13;24.49;21.37;85.17
58;554.17;65.91;510.71;30.29;21.6;76.0
59;386.2;65.43;452.27;26.46;21.46;85.52
60;477.2;62.36;525.99;34.01;19.73;76.21
61;472.38;69.65;463.53;32.49;17.47;71.99
62;471.52;63.21;454.83;31.35;21.01;89.92
63;428.72;56.46;490.67;38.91;21.34;74.51
64;419.04;65.29;564.28;31.92;22.72;89.04
65;430.07;64.72;492.31;28.82;23.94;80.83
66;471.43;75.75;555.29;21.34;19.33;77.5
67;429.16;66.22;432.4;23.55;18.41;69.59
68;432.3;67.3;437.51;30.17;21.98;83.07
69;418.33;75.24;444.32;28.82;21.73;75.61
70;510.8;64.32;482.23;23.72;19.67;78.83
71;389.26;65.13;492.96;23.02;20.97;69.06
72;368.13;70.44;590.14;34.66;15.51;87.53
73;378.91;61.65;423.09;23.91;18.79;69.69
74;457.94;60.28;473.57;29.91;20.7;81.21
75;510.41;68.72;481.38;29.16;21.86;85.96
76;543.97;69.73;445.31;37.52;20.2;86.2
77;455.2;62.82;532.46;27.05;18.41;83.96
78;486.26;72.87;516.77;20.19;21.18;75.82
79;517.05;60.95;493.6;32.11;18.6;80.9
80;432.08;68.46;435.03;14.32;21.56;88.57
81;458.18;74.06;573.4;35.1;17.62;78.72
82;308.02;71.08;504.4;25.42;23.86;89.45
83;559.14;70.83;478.65;28.36;19.15;92.86
84;417.83;55.03;489.04;36.22;21.86;81.97
85;284.22;58.57;447.79;33.22;19.02;79.73
86;531.85;73.93;470.19;23.51;16.38;75.31
87;524.01;76.66;528.79;25.46;19.47;80.34
88;421.79;65.61;539.19;16.71;19.67;75.88
89;571.1;65.06;471.59;38.39;19.52;86.45
90;406.19;76.04;532.67;30.65;19.27;71.43
91;522.66;70.73;514.71;24.09;18.97;75.93
92;678.44;74.12;472.73;27.79;18.75;78.95
93;505.6;63.68;518.06;51.42;19.28;85.34
94;559.4;73.37;473.77;17.29;15.82;73.45
95;466.27;58.3;639.86;40.46;17.66;96.79
96;464.55;63.43;465.97;29.32;20.5;72.7
97;579.42;61.36;455.58;42.84;19.92;76.37
98;436.47;69.9;478.64;39.9;19.43;87.55
99;400.1;65.52;594.94;29.2;21.87;86.08
100;514.52;64.25;445.65;25.57;20.96;76.76
101;469.91;67.24;426.09;16.77;20.4;65.7
102;545.11;67.18;469.88;26.98;20.62;78.39
103;543.95;70.81;463.84;32.0;21.22;76.39
104;482.96;61.66;463.15;44.24;19.43;80.45
105;431.81;67.11;412.49;26.08;20.07;70.94
106;412.43;67.68;532.94;25.65;21.91;94.22
107;563.31;64.31;428.31;34.35;20.01;86.31
108;264.68;58.82;459.68;36.75;18.53;78.95
109;443.99;67.05;555.02;36.15;18.94;98.77
110;544.82;67.85;528.12;29.21;17.68;79.82
111;154.18;65.69;576.36;36.54;20.75;84.85
112;446.35;62.4;490.82;26.93;18.13;64.01
113;487.74;70.95;512.78;10.55;21.56;82.38
114;555.86;63.75;436.15;33.24;20.92;88.2
115;329.66;72.27;628.92;18.35;16.3;89.43
116;371.5;73.41;440.71;28.28;18.48;74.16
117;362.29;66.69;489.03;33.42;22.21;79.31
118;369.65;74.1;485.89;35.74;16.94;74.57
119;505.69;68.39;589.69;26.92;18.48;92.01
120;529.37;62.45;515.63;26.85;20.57;77.61
121;319.97;74.64;494.65;18.13;17.49;79.96
122;353.18;57.91;537.29;33.19;20.71;80.99
123;435.86;52.45;458.23;29.46;20.58;77.22
124;363.54;67.41;466.12;19.0;24.36;69.64
125;364.42;69.51;544.11;23.44;16.53;77.99
126;385.48;56.15;448.69;35.52;20.49;75.21
127;287.6;60.38;449.02;30.3;23.13;82.29
128;452.68;67.8;532.71;41.18;18.2;80.45
129;504.9;67.61;585.74;34.65;22.31;87.77
130;374.29;66.17;563.96;25.97;21.6;77.21
131;228.24;69.47;516.65;32.7;18.65;79.88
132;310.8;57.72;555.16;33.9;19.03;83.18
133;498.66;71.55;472.8;32.28;22.15;79.39
134;548.82;68.25;513.2;30.04;18.31;75.92
135;344.99;76.36;557.91;26.09;16.41;80.96
136;293.44;70.92;534.28;31.88;21.22;82.16
137;430.17;60.66;479.67;37.48;20.64;85.51
138;538.33;67.35;407.26;32.83;21.03;86.82
139;261.25;65.59;569.88;31.23;17.57;67.56
140;499.91;68.65;526.5;27.01;19.94;73.69
141;498.85;68.44;468.42;28.67;21.11;80.19
142;437.93;56.16;533.23;28.16;20.63;76.9
143;282.41;64.43;563.65;17.66;20.9;84.4
144;394.64;63.51;483.6;26.58;20.2;73.75
145;435.82;73.66;526.27;26.67;18.04;79.36
146;399.18;61.28;393.77;31.59;21.39;74.93
147;333.96;73.41;463.01;30.56;15.92;76.76
148;365.95;57.3;502.34;31.57;22.71;74.59
149;372.2;60.61;519.48;30.67;21.9;86.6
150;576.17;65.59;566.09;24.59;17.36;75.11
151;437.52;67.22;516.6;38.46;21.76;90.91
152;440.95;67.23;534.56;28.47;22.34;80.22
153;417.34;61.24;459.12;32.47;20.35;77.47
154;397.73;64.09;519.18;30.24;19.84;82.28
155;529.55;69.59;501.93;33.15;19.83;84.32
156;515.31;71.5;467.0;25.5;19.99;94.35
157;262.12;62.77;511.64;36.28;19.15;86.08
158;435.51;69.7;513.18;26.32;20.62;80.95
159;228.84;60.19;514.33;26.0;21.42;81.8
160;416.45;62.63;525.83;43.96;19.81;81.5
161;435.0;66.44;520.36;36.4;21.3;81.26
162;361.83;63.18;553.56;13.32;17.63;83.52
163;437.08;65.72;506.25;29.0;17.96;66.22
164;534.4;66.21;503.15;26.6;21.89;77.08
165;418.52;70.06;545.94;21.6;19.45;92.0
166;412.88;72.6;496.13;28.49;17.23;71.64
167;294.91;67.77;587.62;24.65;24.61;86.53
168;574.36;71.19;513.45;30.07;19.71;77.49
169;322.97;61.86;408.84;33.33;21.85;78.32
170;363.95;70.12;544.6;39.05;19.11;88.08
171;550.13;76.52;518.41;27.92;19.19;82.74
172;367.02;70.97;540.48;10.82;19.01;77.85
173;443.76;62.66;488.8;29.64;17.13;76.84
174;511.64;65.95;558.57;30.93;21.98;75.0
175;479.98;62.68;465.04;26.24;16.68;73.75
176;492.14;62.35;503.62;31.48;20.27;86.98
177;295.82;72.85;520.92;32.25;21.38;88.59
178;541.59;63.8;481.27;21.32;18.32;71.92
179;387.23;58.75;383.54;34.05;22.38;72.2
180;536.98;70.58;512.42;23.1;21.55;91.71
181;445.98;68.06;464.36;33.16;20.68;79.39
182;287.47;68.82;550.85;24.39;20.46;73.63
183;478.0;76.95;498.05;24.83;17.65;66.49
184;421.33;70.57;511.97;26.02;21.09;86.89
185;322.41;73.47;541.88;30.31;21.52;82.34
186;389.42;66.63;547.19;24.51;22.23;83.49
187;332.96;74.37;568.64;15.13;21.89;80.81
